b,chi,k,lambdaP,p,phi,psi,psi1,psi2,psi3,q,r,score
5,3.471758417,4,0.865089098,0.712642431,0.857404898,0.327202849,0.572906239,0.729986038,0.838660245,7,10,234.5016216
1,3.222781228,5,0.240119228,0.67849063,1.912129014,0.547131063,0.630990129,0.100041976,0.760045802,7,8,234.5016216
10,0.847014128,2,0.570065251,0.843153758,4.14733735,0.97424002,0.676145361,0.879150532,0.496730243,7,9,234.5872882
4,1.456724804,5,0.642848115,0.695270128,1.947377892,3.07561658,0.331563393,0.608269094,0.654863529,8,8,234.5872882
9,4.420405553,2,0.674563477,0.382343894,2.558038952,1.373797927,0.262896646,0.435637689,0.517937661,7,7,234.5872882
7,2.976620493,2,0.512905897,0.574809079,4.048319183,0.93292258,0.671570598,0.143847808,0.715141927,6,7,234.6599549
1,3.292955344,3,0.358026068,0.877375796,3.968775692,2.337223798,0.652035051,0.322127308,0.654516088,3,9,234.7562882
10,0.816773348,4,0.154504762,0.122782003,3.515504594,0.720716654,0.427083843,0.618734921,0.67290887,7,10,234.7976216
6,1.415758868,3,0.396418062,0.830959835,1.736775372,2.412307622,0.43679343,0.644032017,0.7929983,6,5,235.1473742
4,2.093327819,3,0.190728187,0.691626367,3.853143973,1.286482749,0.491365337,0.408886065,0.264397364,8,4,235.1473742
4,0.685730241,5,0.206108017,0.171936706,3.670102288,0.103574743,0.427801504,0.684272358,0.656235558,10,4,235.1473742
3,1.307458941,4,0.788191413,0.729837131,3.310645424,4.318282032,0.78207492,0.84565135,0.806164117,5,10,235.1473742
1,4.846244301,3,0.40482715,0.881817088,4.228514069,0.559892052,0.546064014,0.898382873,0.715251769,3,7,235.1473742
5,0.121993581,3,0.314660179,0.278260687,2.941367386,0.559857341,0.53468617,0.497029953,0.511036943,8,9,235.1473742
8,4.661503983,2,0.822721501,0.81514512,4.82402163,1.350379959,0.494334648,0.861564987,0.762202831,3,7,235.4199549
7,3.100855612,4,0.466123573,0.523005556,4.159760769,2.533042708,0.683995192,0.172924664,0.717167896,5,4,235.4199549
5,1.726981604,2,0.778606755,0.893293874,1.99990185,2.162623965,0.552953361,0.679697514,0.498355787,7,2,235.4746989
7,2.825732392,3,0.558285838,0.448297868,3.746687698,1.176635318,0.485921088,0.446106228,0.180437924,10,8,235.4746989
3,1.427477218,3,0.922441573,0.894512769,3.738042392,4.60105706,0.622506322,0.818138279,0.869472952,4,10,235.4746989
9,3.639196472,3,0.712580946,0.530521731,3.510578322,1.29020097,0.72464652,0.82001091,0.543448626,6,9,235.5398409
4,4.337942713,6,0.863128619,0.394651298,0.315252508,3.757545635,0.422762532,0.447820005,0.123529045,5,7,235.6849279
10,1.64759218,2,0.83699615,0.895261179,2.697526411,1.543007169,0.706165526,0.297447918,0.404809316,8,3,235.6849279
8,1.792483468,4,0.659379015,0.473772404,1.170567204,0.292778228,0.115817798,0.293276945,0.268722966,2,8,235.6849279
1,2.838654375,2,0.749234208,0.532981529,1.143691511,3.48652651,0.720372407,0.58076389,0.486731627,6,9,235.6849279
7,1.572581539,3,0.943451301,0.627412999,4.492771514,1.521170014,0.34545011,0.23454531,0.16110608,2,8,235.6849279
4,1.248784811,5,0.636615599,0.211483209,3.437520607,0.252516563,0.51953873,0.706621304,0.661455968,9,10,235.6849279
7,1.883910119,3,0.731977103,0.410633334,4.710519371,0.48738412,0.223877841,0.240146774,0.286838404,2,8,235.6849279
9,1.078226224,2,0.617006979,0.787908823,1.855588307,2.391395404,0.694307784,0.633995821,0.408678672,7,1,235.6849279
5,1.565511817,4,0.268778554,0.273828742,2.580356724,0.830304114,0.541723731,0.649987199,0.824988492,8,9,235.6849279
6,4.777819368,6,0.916609685,0.898545646,0.528771719,0.848390084,0.587936545,0.86733378,0.341157863,4,4,235.6849279
6,1.038440383,6,0.987842473,0.530655997,4.290215745,2.949751946,0.513579634,0.281786224,0.258348882,4,2,235.6849279
5,2.775812548,5,0.181967278,0.805069633,2.685360318,0.589429424,0.497201082,0.766037521,0.710539391,8,10,235.6849279
3,1.033116766,4,0.880269913,0.864131255,3.177001759,0.801825006,0.621427497,0.897576871,0.579658547,4,10,235.6849279
2,1.601112425,4,0.925407958,0.79723657,3.288003718,2.446064117,0.792583666,0.863966097,0.740086757,5,10,235.6849279
6,2.817755982,4,0.888687455,0.476242403,4.617835548,1.347837043,0.647368138,0.884622415,0.772364967,3,3,235.6849279
3,2.871622035,5,0.811305112,0.607894032,3.0466988,0.208513734,0.709163318,0.695135363,0.662484109,7,9,235.6849279
2,1.625409131,4,0.633848478,0.852392103,4.958477734,0.732155936,0.569282067,0.838651015,0.507386567,3,9,235.6849279
5,0.52646088,6,0.96253062,0.721543872,3.273287315,0.255157035,0.651788528,0.783653219,0.725291224,5,10,235.6849279
5,0.229178478,6,0.959873457,0.772222595,0.109140166,0.247917544,0.575621167,0.775971014,0.836144406,5,5,235.6849279
3,3.330964006,3,0.160846911,0.849914451,3.553644483,1.177326355,0.544192067,0.833847632,0.604154831,3,9,235.6849279
5,3.199576657,2,0.777521693,0.803296088,3.845776625,2.79991613,0.561378325,0.830079725,0.567918042,6,8,235.6849279
7,2.712450833,2,0.773895219,0.89535863,3.527632471,1.717498405,0.595814616,0.833019161,0.538004273,2,1,235.6849279
3,2.181139763,4,0.693949143,0.588249034,3.453843859,0.266397565,0.7876579,0.876456939,0.635440333,6,9,235.6849279
5,3.985483209,5,0.422192112,0.694676463,2.260023056,0.436756904,0.42826222,0.168295375,0.623485529,7,8,235.6849279
4,0.90700768,6,0.7923032,0.621083008,1.991293761,3.129742225,0.461801505,0.723608571,0.834153515,9,8,235.6849279
9,4.515178837,2,0.620776822,0.846374685,4.766940364,1.689911453,0.421757546,0.872796406,0.672564098,2,5,235.6849279
7,3.938513683,2,0.49376936,0.446489883,4.498967815,1.391937432,0.864241968,0.1664856,0.5998933,5,6,235.6849279
4,2.511063974,6,0.84807294,0.810003526,1.052990893,0.552092923,0.602794049,0.802614099,0.777552211,4,6,235.6849279
5,0.836790656,5,0.286967688,0.626242252,4.981990606,0.106589565,0.452380219,0.603016232,0.52876209,9,6,235.6849279
8,0.644224703,2,0.541572319,0.76498985,2.535346472,1.095997604,0.609482098,0.789118542,0.380890261,6,8,235.6849279
2,2.233767811,3,0.338883745,0.16393089,2.510034472,0.654495874,0.729478971,0.536158828,0.471384085,8,9,235.6849279
7,0.222027398,2,0.69780974,0.444690141,2.337260125,1.212612049,0.758789816,0.376589867,0.727474399,4,6,235.6849279
1,1.257311851,3,0.286174677,0.595262092,4.013305753,0.485662645,0.368509674,0.611800821,0.507659878,9,5,235.6849279
6,1.986751566,5,0.989685429,0.609328366,3.19356284,0.182585248,0.676028979,0.575997685,0.687686567,5,10,235.6849279
10,3.892534091,2,0.890126433,0.47577966,2.855603111,4.101445103,0.275753357,0.403231776,0.58143296,3,7,235.7074129
9,4.484725368,2,0.646966809,0.486273992,3.67004553,1.804608355,0.36260323,0.86480606,0.707021326,6,6,235.7074129
2,0.454981602,4,0.830088276,0.861079583,3.124665809,0.990323163,0.705354589,0.828161609,0.499385352,5,10,235.7074129
1,3.886429463,2,0.495243977,0.182039344,0.923433283,4.270903145,0.664578652,0.371253471,0.515975389,4,9,235.9176419
4,0.714262134,5,0.581005891,0.279301142,3.206048737,1.019118804,0.536922394,0.547541035,0.733354397,8,9,235.9176419
9,1.896365243,2,0.643040353,0.82365376,1.505351994,2.667352523,0.722720579,0.720321059,0.398058969,6,6,235.9176419
6,0.252122194,3,0.8281465,0.703594321,2.798384301,0.935518733,0.548141938,0.860412009,0.864635672,8,8,235.9176419
4,1.602924972,4,0.270907314,0.381382347,4.030597189,1.050737689,0.469867487,0.386646577,0.264616651,10,4,235.9176419
7,0.447183513,5,0.688640977,0.678479735,1.887125919,0.284929957,0.656905236,0.74495968,0.785167371,8,8,235.9176419
3,2.929050056,4,0.174415695,0.898450392,3.624423013,0.735289398,0.609447647,0.783580408,0.539593404,7,9,235.9176419
3,2.702301644,3,0.581949499,0.372541863,3.284130743,0.37682845,0.627366837,0.195757484,0.672772882,3,5,235.9176419
5,3.575173915,5,0.356043736,0.604328006,1.652381984,2.213658577,0.388547808,0.629373981,0.147461093,9,6,235.9176419
8,4.553874047,2,0.583052051,0.533797223,3.83434224,2.093155364,0.482942407,0.324562301,0.620142747,7,7,235.9176419
9,4.248698146,2,0.778467478,0.326058046,3.22421719,1.707574981,0.243499271,0.870783169,0.682089904,6,4,235.9176419
3,2.960984526,3,0.318500447,0.887547443,4.339292974,0.815340476,0.545847679,0.814374735,0.101091687,3,10,235.9176419
5,0.473218392,5,0.107954553,0.715378196,1.44596842,0.416566426,0.498253615,0.718899129,0.88294188,8,10,235.9176419
4,0.471857988,5,0.816360408,0.701508795,2.17937163,0.472314515,0.545466739,0.739386716,0.835508962,8,9,235.9176419
3,2.682534486,2,0.6772665,0.418597892,3.085145379,0.950233723,0.631916004,0.804835563,0.699882438,2,9,236.0033086
5,4.98687342,5,0.291482301,0.373320692,2.84444279,0.93664074,0.515944968,0.589901182,0.885226362,9,5,236.1767752
2,1.626669294,2,0.518039686,0.452250571,3.629752891,1.120007843,0.221571767,0.637400644,0.560411162,4,5,236.1767752
10,3.230476624,2,0.596700154,0.44301136,3.696855019,1.468997953,0.705314975,0.101468063,0.576665137,6,9,236.3946419
9,0.492020898,2,0.602499755,0.714495912,1.664398764,2.303601168,0.64432578,0.744992921,0.381808357,9,1,236.5633946
9,0.611906206,5,0.118705254,0.100127532,2.931929104,1.05985293,0.603133142,0.500036276,0.47584345,7,10,236.5633946
10,0.10648427,6,0.913956966,0.83209405,3.18104814,0.941030422,0.69078128,0.898193045,0.847945757,5,10,236.5633946
8,1.586491422,2,0.661009643,0.792359864,2.721090958,1.342039534,0.610421686,0.832974169,0.490558015,7,10,236.5633946
3,1.450053806,4,0.544886625,0.650668549,4.471608676,0.567399205,0.735518343,0.698466744,0.889536427,9,10,236.6567076
5,0.17482602,5,0.85338791,0.265679998,2.424197107,0.453683359,0.516808035,0.694490313,0.881013588,7,7,236.6567076
8,0.928416799,2,0.725437856,0.602001548,1.766246843,1.241440761,0.757497904,0.628391106,0.300519075,7,8,236.6567076
5,0.116455928,5,0.261538217,0.683893914,1.501728558,0.292891638,0.504813599,0.708510919,0.854729772,8,8,236.8448613
9,1.520802291,2,0.460514373,0.279837356,4.65352811,1.402417655,0.411267388,0.50999316,0.451530448,9,5,236.8894216
7,1.522932374,6,0.710326038,0.132616813,0.615251469,1.309120732,0.736135769,0.507948167,0.547007795,3,10,236.9750882
1,3.502385381,3,0.405527708,0.601524587,3.816922141,0.347759262,0.848143723,0.501732189,0.590366945,6,8,236.9750882
8,4.699113226,2,0.704936826,0.798560381,2.82777295,1.216832353,0.52038906,0.846289203,0.618855162,7,9,236.9750882
4,0.680534136,4,0.817689309,0.780133457,2.717187818,0.628675566,0.738874487,0.712927671,0.756400073,8,9,236.9750882
5,1.000440671,6,0.389291916,0.555420297,4.590314777,1.435125764,0.419321572,0.658877549,0.244987002,10,5,237.0403946
6,1.93583539,3,0.687677582,0.519437534,2.331260457,0.908528726,0.384516643,0.482270096,0.194218987,9,6,237.0403946
5,0.317529004,4,0.329108997,0.801722849,3.300233082,0.615608069,0.438852095,0.747502142,0.799452987,8,6,237.3753549
4,4.52965515,4,0.937033668,0.895123702,3.463805738,0.535041733,0.730343867,0.837917439,0.768190658,2,9,237.3931279
4,1.015273185,5,0.230267903,0.691865961,3.398238202,0.176393297,0.420463372,0.497249506,0.888506158,9,6,237.7455076
6,1.465790573,5,0.504039751,0.541425779,2.43079772,0.99601658,0.698907272,0.523827316,0.345574615,8,7,237.7455076
4,0.739883206,2,0.804602497,0.652506012,1.562780095,3.753029713,0.22454575,0.76357954,0.662063564,7,1,238.0727279
3,0.941244011,6,0.408387594,0.848165967,2.286352411,0.879050656,0.578863038,0.880906828,0.812590281,8,9,238.0727279
6,0.17345131,5,0.786605326,0.62535659,1.941808123,0.933458558,0.132353586,0.690046709,0.795273171,8,8,238.0727279
8,3.386018728,2,0.26246675,0.891855044,3.284287976,0.957931103,0.534287317,0.849043619,0.591891988,7,10,238.0727279
8,0.195126356,5,0.760245711,0.754023709,2.351879025,2.147180659,0.232597782,0.75954597,0.723702846,7,6,238.0727279
8,4.270960428,2,0.621844552,0.469384025,3.721174291,1.31245935,0.415138914,0.865174424,0.669144,7,5,238.0727279
1,2.134625274,5,0.574088641,0.59912034,2.85397152,0.530419225,0.395528564,0.620549524,0.703637316,8,6,238.0727279
9,4.347171408,2,0.672785972,0.779069545,2.260027984,1.722693065,0.438655225,0.636790739,0.635253239,7,7,238.0727279
1,0.893276992,3,0.151452588,0.895702808,3.547859198,0.790430052,0.679940243,0.742249737,0.552241676,4,10,238.3054419
5,0.102198624,5,0.394046384,0.738820502,2.748385689,0.418580606,0.406091079,0.755399771,0.67619307,7,8,238.3054419
9,0.749697369,2,0.629764195,0.504235073,3.696446592,1.370926232,0.38319035,0.44445756,0.216444202,9,5,238.3054419
2,1.927378054,4,0.191272048,0.641731556,0.100757425,0.338058987,0.549332734,0.673454718,0.698876829,2,9,238.5645752
1,2.432091387,2,0.667238442,0.48540558,3.498002043,1.928378716,0.68732054,0.436340408,0.545659376,9,8,238.8681086
6,0.565416714,5,0.138760058,0.13690286,3.012886288,0.291585444,0.371948592,0.713640584,0.222967968,5,7,238.9511946
7,0.120037266,5,0.100230322,0.599530731,3.055231798,0.795746874,0.494858181,0.356235513,0.418738366,8,7,238.9511946
5,0.108738386,5,0.299745616,0.742877629,2.801653954,0.274064554,0.448819398,0.727830191,0.808849632,8,7,238.9511946
9,0.597848863,2,0.67665008,0.653567205,2.726877592,1.088122068,0.500010988,0.543292005,0.476542126,8,6,238.9511946
9,0.51269661,4,0.39545976,0.226745276,3.212509092,0.965091005,0.530817533,0.592794564,0.646098058,8,9,239.4281946
9,4.341799312,2,0.225664341,0.493960251,4.69869256,2.057025886,0.284939914,0.694983189,0.571595431,10,6,239.4385752
3,3.975310912,5,0.178948721,0.109957953,4.775592613,3.230136575,0.516823896,0.163675938,0.250382514,6,5,240.1158675
4,2.407953912,4,0.462070828,0.536305601,3.909457798,1.215905093,0.31366756,0.386752677,0.805186557,6,5,240.1158675
1,3.42654243,2,0.629064092,0.519526096,2.299334893,2.649682314,0.730048706,0.33380891,0.383327878,6,9,240.1158675
4,2.407266606,4,0.671620697,0.483287647,2.722979957,0.556345768,0.261203984,0.468796087,0.274857062,10,6,240.1158675
3,1.966858164,4,0.484403989,0.612410711,2.534599374,0.258970235,0.359530719,0.600003316,0.570610505,9,5,240.1158675
6,0.667276967,4,0.684379702,0.299211678,3.618630188,1.176689863,0.476402446,0.48201763,0.135612299,7,6,240.1158675
6,1.278693869,3,0.339553192,0.626363925,4.160270501,1.24463226,0.58227735,0.341855531,0.218559901,8,6,240.1158675
2,3.47065497,2,0.668313387,0.654557205,1.056396743,4.260291052,0.673315155,0.263716894,0.491260088,5,8,240.1158675
2,2.551827308,4,0.741939291,0.55603452,3.965402919,2.137720662,0.565250886,0.439026663,0.306993325,9,7,240.1158675
8,0.738138152,5,0.880033689,0.633303507,2.288783144,1.107330968,0.460115142,0.567192051,0.380335434,7,6,240.1158675
2,2.707280689,4,0.241882211,0.788824534,3.264071415,1.212058744,0.561102518,0.840929387,0.708332001,6,9,240.1158675
7,0.935706597,6,0.606641506,0.840735049,0.13560906,1.734657182,0.575961075,0.643615238,0.353160325,5,9,240.1158675
1,1.496491845,2,0.771180504,0.464351009,4.54213182,1.35692279,0.681811578,0.847190493,0.295002744,3,9,240.1158675
7,0.955159818,6,0.588090942,0.596902798,1.134500794,1.209257667,0.55577507,0.809447944,0.819647131,6,9,240.1158675
6,0.995763481,6,0.929923821,0.877098811,0.540439971,1.187455186,0.558451713,0.646926456,0.834787646,4,6,240.1158675
6,0.247596955,5,0.408155865,0.581247379,2.841931102,0.860362141,0.292760755,0.73775953,0.775424535,8,8,240.1158675
8,1.075763108,6,0.889699644,0.840143796,4.945824378,2.939736088,0.612901876,0.808158155,0.89736262,4,2,240.1158675
3,3.811582431,4,0.111038604,0.862707468,3.420180243,0.644459897,0.630646604,0.83482686,0.725279669,2,10,240.1158675
5,4.135020662,5,0.192418613,0.692406571,2.843408122,0.111748472,0.461244682,0.641378866,0.760766425,8,6,240.1158675
6,0.424327554,5,0.906869428,0.55639122,3.806330635,0.836280049,0.637065475,0.89886643,0.806398151,6,4,240.1158675
1,2.081959881,3,0.652585576,0.44167144,3.823178529,1.368310513,0.747961494,0.490889325,0.488445738,10,7,240.1158675
6,4.627501791,6,0.281393614,0.855310703,3.947216962,0.893555849,0.494311893,0.707452875,0.672719413,4,6,240.1158675
4,2.854540937,3,0.199112193,0.83030768,1.397475189,0.807111897,0.365304894,0.822942914,0.779704036,2,7,240.1158675
4,0.59112484,5,0.234420839,0.744234331,2.552417712,0.100584069,0.482864848,0.676154546,0.815043629,8,9,240.1158675
6,0.85337024,4,0.845184515,0.762120778,3.21297452,0.208075702,0.703290418,0.57622516,0.674498527,7,10,240.1158675
2,1.956005445,5,0.335763473,0.694203625,2.98170779,0.476142624,0.878900573,0.689765905,0.645078158,8,9,240.1158675
7,0.846217471,2,0.612254655,0.50135969,0.947352844,1.550992671,0.602473056,0.817026539,0.348864331,4,10,240.1158675
7,3.141651551,2,0.488389444,0.371395734,4.377094294,0.672299411,0.56030452,0.131502066,0.588497781,4,6,240.1158675
9,1.551662127,2,0.55175256,0.454568615,3.102529812,0.897530873,0.617754152,0.33068857,0.895855025,5,9,240.1158675
2,3.589837051,2,0.436186759,0.425065754,4.165698635,0.655687347,0.636974423,0.211233235,0.626520157,6,8,240.1158675
8,4.506964586,2,0.598976665,0.441643232,3.871300919,1.619507804,0.345481152,0.236910749,0.596576841,6,7,240.1158675
8,4.331652314,2,0.668764472,0.524641125,1.270101206,1.467774148,0.539303618,0.837567083,0.717065101,7,7,240.1158675
7,4.905203192,2,0.968173692,0.773476767,0.907269554,1.231759429,0.590405975,0.813402772,0.37464942,6,7,240.1158675
8,4.584841951,2,0.678336505,0.898555754,3.080510005,1.052991054,0.576326049,0.78965295,0.616496054,7,9,240.1158675
2,2.211859921,3,0.208968057,0.780269243,2.545237444,0.47459169,0.538205309,0.366983813,0.52200296,2,8,240.1158675
7,1.808826465,2,0.524277523,0.299550424,2.924147772,1.102015152,0.687254928,0.48231522,0.33811506,5,7,240.1158675
8,4.479005241,2,0.616320589,0.442581978,3.815904737,1.620775571,0.49771126,0.360060293,0.628979845,5,6,240.1158675
7,4.191711101,2,0.634748444,0.458673343,4.52483798,1.467170326,0.447343529,0.8990526,0.669086351,5,6,240.1158675
6,1.888539867,4,0.94331302,0.847861345,3.160266705,0.514289997,0.673371052,0.463876619,0.774026093,10,2,240.1158675
1,0.417115338,4,0.136859821,0.662774833,1.019432685,0.25476439,0.615944723,0.704328391,0.542064859,5,8,240.1158675
7,2.486720829,2,0.722685621,0.421324526,3.529561962,1.159127613,0.694800958,0.276391099,0.659702539,5,3,240.1158675
1,3.447237646,3,0.135933039,0.59036953,3.545096632,0.602562462,0.80737615,0.819128961,0.537200687,7,9,240.1158675
2,3.054592153,3,0.858047653,0.870058082,3.921096891,0.794350357,0.701546544,0.871692125,0.483688411,2,9,240.1158675
1,4.177670218,4,0.217039074,0.104409814,2.513971538,0.279068001,0.608939628,0.536749423,0.760027732,8,4,240.3485815
2,3.183744817,2,0.520042994,0.35001913,1.578344795,2.849771565,0.754278833,0.462410388,0.592569604,6,8,240.3485815
10,0.287369957,4,0.411368189,0.315309035,3.581549236,0.541844258,0.293488945,0.721400678,0.838626783,8,7,240.3485815
8,2.602381439,3,0.24758085,0.469339575,4.087460944,1.675658561,0.410062645,0.427002692,0.119648987,9,5,240.3485815
3,3.533381218,4,0.243520163,0.795864093,4.277622417,1.412799147,0.549408194,0.786141953,0.615397007,2,9,240.3485815
1,2.505328702,3,0.869741683,0.549439132,3.914746565,0.779501694,0.589069521,0.227584677,0.434729176,10,7,240.3485815
5,3.022535047,3,0.301913537,0.243955505,2.158595726,3.748545245,0.415286642,0.473013871,0.526293939,8,7,240.3485815
5,3.858996925,5,0.2533944,0.705677692,3.733639478,0.190760808,0.428532705,0.78119547,0.811973165,6,7,240.3485815
9,2.352079853,2,0.767668674,0.425773627,3.468196172,1.022804453,0.758591541,0.237023258,0.666489859,7,4,240.3485815
8,0.115062338,2,0.565434722,0.458460346,2.423050575,1.527472873,0.493823518,0.843835908,0.623800235,7,7,240.3485815
4,0.351033918,5,0.294356471,0.716388727,2.175182067,0.195936526,0.550410315,0.695737414,0.769166268,8,8,240.3485815
6,0.663983511,6,0.545680642,0.51718635,4.866877555,0.986298053,0.579299299,0.290370046,0.645626083,4,5,240.3485815
3,1.291649094,4,0.449145483,0.576104704,3.234213292,0.656308202,0.750305156,0.217819108,0.802863202,4,9,240.3485815
9,3.775675687,2,0.576627208,0.627895106,2.419614363,1.255922538,0.404051798,0.882900003,0.688354779,8,7,240.3485815
5,0.616317902,5,0.713197711,0.701623401,2.642975684,0.235526829,0.456568336,0.565016446,0.460980821,8,9,240.4342482
5,0.301461719,6,0.93224345,0.70420495,0.918222634,1.424160338,0.474505373,0.79108097,0.874198798,3,6,240.6077149
5,3.184204539,3,0.309877253,0.361686571,3.374298925,0.658816788,0.537071693,0.466713621,0.618119746,8,9,240.6077149
2,3.188402934,4,0.104558506,0.871351081,3.763497035,0.904537294,0.549228224,0.845246243,0.628682089,2,10,240.9943342
5,3.370234037,3,0.255307379,0.116175525,4.312255689,0.625332611,0.403610333,0.655605206,0.572338441,3,8,240.9943342
5,0.383657897,5,0.384068024,0.756755848,1.84153269,0.657952154,0.440553309,0.622440065,0.856860873,8,7,240.9943342
7,2.439790474,6,0.940828815,0.830832628,3.212981311,0.787931343,0.577974269,0.828213906,0.865891417,3,10,240.9943342
10,3.849016365,2,0.641367145,0.502333276,4.174060027,1.215506023,0.516703804,0.888041572,0.597791556,6,8,240.9943342
9,4.190476511,2,0.638563512,0.669058404,2.267261453,2.019204765,0.315807464,0.805609098,0.65582994,8,7,240.9943342
8,4.801634942,2,0.534350184,0.361085904,2.61561054,1.051237128,0.503569572,0.758569783,0.612494705,5,7,240.9943342
5,4.917017679,5,0.23940905,0.216523631,1.943877601,0.116360727,0.509083264,0.673120286,0.721713615,7,7,240.9943342
3,1.910736878,5,0.224865568,0.563154377,3.582235126,0.274227091,0.792197578,0.796214561,0.579494312,9,8,240.9943342
5,2.057220059,3,0.834060836,0.293710878,2.969235373,3.634584444,0.299454531,0.49925603,0.628538272,9,7,241.2046675
6,2.331576799,4,0.757184793,0.539264678,3.104557204,0.178443744,0.769926549,0.417421773,0.410940642,7,6,241.2046675
2,1.593240123,3,0.169553697,0.564006286,2.504720986,0.797781835,0.542174771,0.448982725,0.463146381,9,9,241.2046675
7,4.798711318,2,0.53173245,0.453735815,4.486290861,1.221866923,0.523491349,0.424682246,0.405738436,5,6,241.2046675
5,2.821754423,3,0.880118646,0.504452359,3.710121838,2.319572681,0.476499496,0.556663805,0.120641041,5,9,241.3216589
